student_id,cohort_year,program,semester,attendance_rate,assignment_score,quiz_average,midterm_score,final_exam_score,lms_logins,study_hours_per_week,internet_access,part_time_work_hours,commute_minutes,ai_tool_usage_frequency,previous_gpa,final_grade,passed,submission_delay_days,missing_reason_flag
S100429,2024,Computer Science,5,84.28,86.12,75.96,100.0,100.0,55,10.26,stable,21.72,33.86,rarely,3.9,91.21,1,4.0,none
S100430,2024,Computer Science,1,87.19,73.85,68.48,94.66,90.04,46,5.68,stable,4.96,49.54,rarely,2.27,80.13,1,1.0,none
S100431,2023,Computer Science,2,84.41,84.01,61.88,96.69,80.28,56,12.34,stable,19.74,5.99,sometimes,2.61,83.41,1,1.0,none
S100432,2023,Economics,1,84.06,80.8,72.36,100.0,97.37,42,12.08,stable,2.71,22.02,very_often,3.31,90.44,1,2.0,none
S100433,2024,Psychology,6,79.36,77.28,62.87,97.88,92.82,56,10.19,stable,10.51,45.31,sometimes,2.8,78.29,1,1.0,self_report_missing
S100434,2021,Computer Science,3,78.84,81.06,83.66,100.0,100.0,52,7.73,limited,18.28,35.75,rarely,3.39,89.73,1,3.0,none
S100435,2022,Public Health,1,88.05,78.5,64.8,100.0,100.0,84,10.41,stable,17.92,60.49,sometimes,3.09,84.82,1,4.0,none
S100436,2021,Economics,2,85.26,79.44,71.42,100.0,100.0,53,8.82,limited,7.06,9.6,sometimes,3.71,92.76,1,0.0,none
S100437,2023,Computer Science,8,75.81,97.38,67.09,90.69,99.98,77,21.84,stable,13.89,77.34,never,3.47,88.27,1,2.0,none
S100438,2023,Economics,3,74.79,89.65,68.97,100.0,100.0,35,9.88,unstable,12.95,7.32,often,3.48,85.75,1,0.0,none
S100439,2023,Computer Science,6,85.45,88.66,69.84,100.0,100.0,64,9.82,stable,6.22,0.0,never,2.81,90.28,1,0.0,self_report_missing
S100440,2024,Public Health,4,86.11,85.21,80.54,100.0,100.0,54,8.42,stable,14.31,33.94,often,2.96,94.31,1,0.0,self_report_missing
S100441,2021,Education,2,75.44,92.7,73.05,89.37,95.16,62,18.15,limited,23.04,14.58,often,2.86,84.71,1,1.0,none
S100442,2023,Education,3,63.18,68.71,56.44,96.71,87.8,48,3.56,limited,13.3,34.3,never,2.32,72.28,1,2.0,self_report_missing
S100443,2021,Economics,1,95.08,95.15,86.17,100.0,100.0,75,12.5,limited,13.96,33.67,often,3.66,94.35,1,0.0,none
S100444,2022,Economics,6,91.09,72.8,75.78,100.0,100.0,56,9.75,unstable,14.71,31.48,often,3.34,83.55,1,2.0,self_report_missing
S100445,2023,Economics,3,61.87,75.79,80.99,100.0,100.0,38,5.59,stable,0.0,19.84,sometimes,2.84,78.06,1,2.0,none
S100446,2024,Education,4,95.14,82.96,76.73,100.0,100.0,44,7.26,limited,13.22,42.79,sometimes,3.59,93.99,1,0.0,none
S100447,2023,Psychology,2,78.49,72.84,74.77,100.0,100.0,64,13.2,stable,2.88,29.29,never,2.72,83.27,1,3.0,self_report_missing
S100448,2021,Economics,7,78.15,66.05,70.43,100.0,80.66,55,7.64,stable,5.87,54.87,never,2.17,76.52,1,0.0,none
S100449,2023,Economics,2,96.28,100.0,77.75,99.16,100.0,38,11.16,stable,25.13,31.75,often,3.45,96.83,1,3.0,none
S100450,2021,Computer Science,5,95.84,91.31,78.87,100.0,93.07,67,19.12,stable,8.23,17.64,rarely,2.42,92.1,1,3.0,none
S100451,2024,Computer Science,7,92.81,79.25,73.82,100.0,100.0,44,12.38,stable,4.82,4.62,rarely,2.91,91.61,1,2.0,none
S100452,2023,Computer Science,6,81.64,68.12,73.16,100.0,100.0,52,4.01,limited,18.07,31.9,sometimes,3.09,84.35,1,4.0,none
S100453,2021,Computer Science,5,70.28,77.57,71.14,87.36,100.0,40,7.92,stable,3.37,12.15,rarely,3.17,79.85,1,1.0,none
S100454,2021,Computer Science,8,61.58,81.33,69.63,97.44,99.98,47,10.17,unstable,6.87,10.7,often,3.38,79.16,1,2.0,none
S100455,2021,Economics,2,92.0,84.73,70.06,100.0,100.0,46,8.92,stable,18.74,44.49,often,3.26,95.42,1,3.0,none
S100456,2024,Economics,8,98.28,84.77,94.44,100.0,100.0,72,11.86,stable,10.3,3.0,often,3.25,93.75,1,1.0,none
S100457,2022,Education,5,70.7,81.4,73.17,98.33,98.8,59,13.41,stable,0.0,60.42,never,2.64,78.94,1,1.0,none
S100458,2023,Psychology,4,80.02,88.15,67.29,100.0,100.0,74,18.68,stable,13.81,37.87,sometimes,3.13,88.96,1,1.0,none
S100459,2023,Economics,3,72.44,81.49,63.07,100.0,98.58,84,11.41,stable,7.22,34.21,often,2.32,76.16,1,1.0,none
S100460,2023,Public Health,6,81.2,77.36,65.57,100.0,100.0,48,5.15,stable,20.78,16.37,sometimes,3.7,89.34,1,5.0,none
S100461,2021,Computer Science,8,88.43,82.56,79.18,100.0,100.0,75,16.73,stable,5.76,48.76,often,2.37,86.17,1,0.0,self_report_missing
S100462,2024,Education,6,83.29,93.13,75.74,100.0,98.98,50,16.29,stable,17.36,34.95,sometimes,2.84,92.88,1,0.0,none
S100463,2022,Economics,1,73.2,75.83,66.87,98.43,86.38,66,11.25,limited,22.43,22.65,sometimes,2.41,80.13,1,3.0,none
S100464,2023,Psychology,4,100.0,79.55,70.76,100.0,100.0,46,10.57,stable,4.04,38.6,rarely,2.67,91.9,1,3.0,none
S100465,2023,Computer Science,6,65.5,82.49,68.54,92.3,98.33,54,14.11,limited,8.65,4.71,often,3.01,83.02,1,4.0,none
S100466,2023,Computer Science,4,83.82,80.58,77.77,100.0,88.32,58,10.03,limited,12.72,5.56,rarely,2.76,82.48,1,4.0,none
S100467,2024,Economics,7,75.48,84.14,79.37,93.78,100.0,52,2.43,stable,4.0,14.84,often,3.51,86.6,1,0.0,none
S100468,2021,Economics,6,80.82,89.25,81.78,100.0,88.33,41,13.58,stable,11.89,41.29,sometimes,3.1,87.25,1,2.0,none
S100469,2023,Psychology,1,82.28,83.56,63.82,100.0,93.15,47,15.34,stable,8.43,34.94,rarely,2.79,90.12,1,2.0,none
S100470,2022,Economics,5,89.34,79.4,77.93,100.0,100.0,67,17.82,stable,8.28,53.88,often,2.94,88.53,1,3.0,none
S100471,2022,Public Health,2,83.41,82.94,79.13,100.0,100.0,46,7.88,stable,10.34,18.44,sometimes,3.55,92.73,1,3.0,none
S100472,2021,Computer Science,4,76.9,89.25,71.29,100.0,98.68,38,12.18,unstable,10.5,45.34,rarely,3.41,94.62,1,0.0,none
S100473,2021,Economics,4,76.26,78.81,57.28,98.12,87.2,53,12.22,stable,11.15,32.95,very_often,2.49,78.38,1,1.0,none
S100474,2022,Psychology,7,70.11,61.23,59.54,86.88,100.0,51,11.92,stable,5.81,18.03,often,2.69,72.4,1,0.0,none
S100475,2022,Education,7,89.36,89.43,89.03,100.0,100.0,57,12.03,stable,6.11,41.94,sometimes,3.21,97.04,1,3.0,none
S100476,2022,Education,4,85.86,81.42,68.41,100.0,97.08,60,11.43,stable,9.17,33.81,often,3.16,86.55,1,0.0,none
S100477,2023,Education,5,84.03,85.06,71.85,100.0,100.0,59,12.18,stable,9.69,23.68,sometimes,2.53,87.27,1,1.0,none
S100478,2023,Psychology,6,83.34,94.29,77.99,100.0,100.0,48,14.78,stable,6.93,35.76,sometimes,3.34,95.01,1,6.0,none
S100479,2022,Public Health,6,74.3,80.84,70.26,100.0,81.94,53,16.51,unstable,12.27,32.67,rarely,2.6,78.35,1,2.0,none
S100480,2022,Economics,6,97.43,90.66,79.98,100.0,100.0,63,8.6,stable,0.0,32.23,rarely,3.59,97.37,1,2.0,none
S100481,2022,Psychology,7,94.0,88.14,85.05,100.0,87.62,48,10.83,stable,4.89,27.57,sometimes,3.24,96.89,1,1.0,none
S100482,2023,Education,8,94.11,82.43,73.14,100.0,100.0,49,9.46,stable,8.04,11.51,sometimes,2.49,85.81,1,2.0,none
S100483,2022,Psychology,7,84.28,75.36,67.57,100.0,91.18,35,9.13,stable,4.01,36.35,often,2.76,86.73,1,5.0,self_report_missing
S100484,2021,Computer Science,2,91.19,69.18,71.26,87.83,100.0,47,3.02,limited,21.4,20.55,sometimes,2.75,81.03,1,3.0,none
S100485,2022,Psychology,4,75.58,77.74,63.96,98.91,100.0,57,11.3,unstable,10.13,16.63,sometimes,3.07,89.77,1,0.0,none
S100486,2022,Computer Science,4,76.16,88.92,76.08,100.0,100.0,33,13.26,limited,11.24,30.67,often,2.91,85.94,1,4.0,none
S100487,2022,Computer Science,5,90.35,82.26,67.6,97.24,92.02,42,10.77,stable,6.62,48.21,very_often,2.48,82.46,1,2.0,none
S100488,2023,Education,5,86.57,84.29,66.17,93.67,86.59,38,11.17,stable,9.89,38.34,sometimes,2.37,85.21,1,1.0,none
S100489,2023,Economics,6,77.52,87.82,79.7,100.0,100.0,64,13.76,limited,1.49,25.44,very_often,3.25,95.51,1,2.0,none
S100490,2023,Public Health,4,72.78,93.27,72.84,100.0,93.29,37,17.65,stable,8.81,24.72,often,3.13,90.35,1,2.0,none
S100491,2023,Psychology,3,79.81,74.77,70.78,100.0,100.0,51,9.84,stable,3.44,46.44,never,3.05,82.55,1,2.0,none
S100492,2023,Education,4,77.38,78.83,79.4,100.0,100.0,56,6.08,stable,8.06,0.0,sometimes,3.12,88.42,1,0.0,none
S100493,2022,Public Health,7,97.02,86.12,69.86,100.0,100.0,57,11.59,stable,0.0,49.35,rarely,2.72,89.6,1,3.0,none
S100494,2023,Public Health,3,88.04,100.0,84.72,100.0,,57,20.31,limited,2.1,1.27,often,3.08,92.94,1,2.0,none
S100495,2023,Economics,1,81.44,100.0,85.66,100.0,100.0,52,5.16,stable,20.25,9.52,sometimes,4.0,100.0,1,1.0,none
S100496,2022,Economics,8,71.65,90.76,84.72,100.0,100.0,66,13.66,unstable,15.81,25.74,sometimes,3.53,90.43,1,0.0,none
S100497,2023,Education,2,71.85,80.15,87.59,100.0,100.0,55,15.67,stable,19.23,74.06,often,2.87,83.81,1,1.0,self_report_missing
S100498,2022,Computer Science,5,73.78,58.2,59.76,95.3,85.89,18,0.0,stable,19.71,65.19,sometimes,2.76,68.76,1,2.0,none
S100499,2023,Economics,7,72.12,62.6,55.6,79.86,87.95,66,12.67,stable,14.71,47.72,sometimes,1.71,70.78,1,4.0,self_report_missing
S100500,2023,Education,3,95.81,89.41,89.39,100.0,100.0,62,14.17,stable,6.83,41.42,often,3.48,95.88,1,1.0,none
S100501,2024,Computer Science,3,75.9,63.71,81.47,100.0,100.0,52,10.58,stable,2.74,1.48,very_often,3.35,84.64,1,3.0,none
S100502,2024,Public Health,3,100.0,75.8,70.33,93.83,100.0,30,7.65,stable,18.03,37.82,often,2.76,83.79,1,3.0,none
S100503,2023,Computer Science,2,69.15,75.67,67.24,87.23,83.99,46,8.51,stable,10.45,25.11,rarely,2.36,78.0,1,1.0,none
S100504,2023,Psychology,2,61.94,69.4,81.66,91.38,85.88,39,8.32,limited,27.46,20.3,rarely,2.48,71.54,1,2.0,none
S100505,2023,Education,2,100.0,85.7,81.35,100.0,100.0,41,10.05,stable,7.44,37.79,rarely,3.2,90.88,1,2.0,none
S100506,2022,Public Health,4,95.37,73.12,82.7,100.0,100.0,50,7.89,stable,23.81,26.52,sometimes,2.96,88.97,1,1.0,self_report_missing
S100507,2024,Public Health,5,81.43,91.31,86.83,100.0,100.0,46,9.74,stable,8.9,50.65,rarely,3.31,93.87,1,0.0,none
S100508,2022,Economics,1,84.04,89.7,94.95,100.0,100.0,52,15.81,limited,19.35,0.15,very_often,3.04,96.12,1,3.0,none
S100509,2021,Computer Science,7,88.66,78.89,78.19,100.0,100.0,56,4.78,stable,21.88,36.35,often,3.44,89.54,1,3.0,none
S100510,2021,Economics,6,85.07,62.83,81.57,100.0,100.0,50,3.9,stable,2.84,19.18,sometimes,3.17,91.28,1,2.0,none
S100511,2024,Psychology,1,71.62,85.29,71.4,100.0,100.0,52,16.9,stable,6.61,27.63,rarely,3.37,86.37,1,2.0,none
S100512,2021,Education,7,51.35,70.46,57.51,87.04,74.79,43,10.91,stable,2.77,40.48,sometimes,2.06,61.23,1,0.0,self_report_missing
S100513,2022,Education,1,71.1,74.25,62.83,99.34,78.15,46,10.14,stable,1.39,14.89,sometimes,2.44,71.41,1,1.0,none
S100514,2022,Psychology,5,99.1,85.55,64.38,100.0,100.0,51,10.33,stable,14.67,37.96,often,2.84,87.1,1,2.0,none
S100515,2021,Computer Science,4,100.0,92.48,72.79,100.0,100.0,62,12.25,unstable,8.62,31.18,rarely,3.49,92.37,1,5.0,none
S100516,2022,Education,5,85.0,86.59,83.69,100.0,100.0,40,8.81,stable,10.37,23.11,often,3.85,97.9,1,3.0,none
S100517,2023,Psychology,8,72.37,85.85,74.85,100.0,98.63,70,13.17,stable,13.89,26.53,rarely,2.93,83.71,1,1.0,none
S100518,2021,Economics,8,83.29,71.09,63.33,96.99,98.4,57,7.67,stable,0.0,32.22,rarely,2.72,81.3,1,2.0,none
S100519,2024,Education,3,81.73,67.54,76.94,100.0,91.5,21,9.12,stable,19.01,21.18,very_often,2.12,76.06,1,0.0,none
S100520,2024,Education,5,90.38,80.65,67.17,100.0,100.0,46,1.43,stable,7.56,35.13,rarely,3.39,86.52,1,1.0,none
S100521,2022,Economics,8,55.49,84.45,68.56,100.0,100.0,67,16.18,stable,13.73,29.99,rarely,2.75,84.99,1,0.0,none
S100522,2021,Psychology,6,100.0,97.98,84.12,100.0,100.0,58,10.06,stable,14.34,24.0,sometimes,4.0,100.0,1,1.0,none
S100523,2023,Computer Science,8,90.18,85.97,75.86,100.0,100.0,52,13.45,stable,19.6,63.62,sometimes,2.67,92.94,1,1.0,none
S100524,2021,Public Health,4,85.44,93.3,90.2,100.0,100.0,55,13.4,stable,9.27,42.47,rarely,3.95,94.46,1,0.0,none
S100525,2022,Education,3,73.66,88.31,81.33,100.0,100.0,57,14.47,unstable,0.0,28.11,never,3.34,87.01,1,1.0,self_report_missing
S100526,2024,Public Health,5,89.03,84.75,77.53,100.0,86.01,62,11.13,stable,10.4,37.63,never,2.54,91.17,1,0.0,none
S100527,2024,Public Health,7,88.39,90.14,81.83,100.0,100.0,40,12.83,stable,11.4,16.52,sometimes,3.1,92.23,1,1.0,self_report_missing
S100528,2023,Computer Science,8,81.87,98.54,66.16,100.0,100.0,43,7.45,unstable,2.76,27.14,rarely,3.35,87.94,1,0.0,none
S100529,2022,Computer Science,6,82.76,71.07,78.88,100.0,100.0,67,5.85,limited,11.03,29.24,often,2.9,89.47,1,1.0,none
S100530,2023,Computer Science,6,84.11,100.0,70.3,100.0,100.0,54,10.95,stable,7.47,12.56,often,3.38,93.88,1,3.0,none
S100531,2023,Computer Science,5,84.47,74.23,75.98,100.0,100.0,68,8.89,limited,0.6,41.97,rarely,3.37,90.76,1,3.0,none
S100532,2022,Computer Science,3,91.29,95.59,79.7,100.0,100.0,92,17.24,stable,14.7,25.9,sometimes,3.27,88.44,1,2.0,none
S100533,2023,Education,4,85.7,76.69,78.7,100.0,85.92,50,13.2,stable,6.05,28.6,rarely,2.99,84.35,1,3.0,none
S100534,2021,Public Health,4,78.71,76.47,64.09,100.0,100.0,37,8.2,limited,7.16,24.76,sometimes,2.47,84.73,1,1.0,none
S100535,2022,Economics,7,90.04,87.49,74.75,100.0,100.0,50,10.24,limited,6.76,88.26,rarely,2.97,88.82,1,3.0,none
S100536,2023,Computer Science,5,67.04,79.62,81.63,100.0,96.41,64,11.11,stable,18.65,23.07,often,3.08,89.59,1,1.0,none
S100537,2021,Psychology,7,70.46,78.62,54.77,97.33,81.44,65,10.92,stable,9.71,0.0,sometimes,2.16,69.05,1,1.0,none
S100538,2021,Education,1,83.96,80.59,75.97,100.0,100.0,80,12.38,stable,10.55,6.2,sometimes,3.08,88.56,1,3.0,none
S100539,2024,Economics,7,73.91,66.38,63.9,81.29,89.12,53,11.76,stable,6.92,48.67,often,2.96,79.99,1,3.0,system_issue
S100540,2024,Economics,5,70.08,72.87,67.42,90.19,94.75,52,4.68,unstable,13.24,59.06,often,2.42,73.29,1,0.0,none
S100541,2023,Economics,8,94.53,75.3,66.46,100.0,100.0,37,0.77,stable,19.45,22.73,sometimes,2.85,87.61,1,0.0,system_issue
S100542,2024,Psychology,4,78.75,72.32,71.35,92.55,88.16,24,9.16,stable,14.54,58.02,rarely,2.86,81.89,1,4.0,none
S100543,2024,Psychology,4,68.4,84.91,68.87,87.35,100.0,53,13.34,stable,14.81,48.35,very_often,3.87,87.47,1,2.0,none
S100544,2021,Economics,2,78.54,83.18,82.01,100.0,100.0,38,9.23,stable,14.24,31.59,sometimes,3.1,88.94,1,1.0,none
S100545,2022,Psychology,7,85.62,91.11,82.69,100.0,100.0,66,17.54,stable,0.34,30.31,often,3.47,92.04,1,0.0,none
S100546,2022,Public Health,6,78.48,85.43,73.83,100.0,100.0,32,11.48,unstable,3.87,38.26,often,2.95,88.54,1,0.0,none
S100547,2021,Education,7,81.88,86.68,76.33,100.0,95.99,51,17.42,stable,8.57,50.79,sometimes,2.16,84.14,1,4.0,none
S100548,2023,Psychology,1,88.3,100.0,72.55,100.0,100.0,62,16.79,stable,4.92,42.15,rarely,3.3,90.16,1,1.0,none
S100549,2022,Psychology,2,79.38,91.86,69.4,100.0,100.0,62,16.53,stable,2.55,22.82,rarely,2.7,90.81,1,3.0,self_report_missing
S100550,2022,Economics,8,69.34,75.42,68.08,100.0,93.72,47,6.58,stable,0.0,31.86,sometimes,2.85,78.46,1,0.0,none
S100551,2021,Economics,1,73.3,78.11,55.88,100.0,88.58,74,12.03,stable,0.57,70.66,sometimes,2.53,73.33,1,2.0,none
S100552,2021,Computer Science,5,75.82,84.22,63.85,100.0,97.63,75,16.85,stable,8.2,39.52,often,3.03,83.53,1,2.0,none
S100553,2024,Public Health,4,81.41,85.35,72.74,100.0,99.87,47,12.46,stable,9.51,50.65,often,3.48,88.21,1,1.0,none
S100554,2021,Psychology,8,91.07,97.44,73.76,100.0,96.18,75,14.14,stable,4.45,44.72,very_often,3.42,93.59,1,1.0,none
S100555,2022,Computer Science,7,86.66,81.33,75.76,100.0,100.0,67,4.91,limited,10.55,39.92,very_often,3.71,88.97,1,1.0,none
S100556,2022,Education,8,94.87,100.0,92.38,100.0,100.0,61,20.08,stable,6.96,36.96,often,3.78,100.0,1,2.0,none
S100557,2022,Psychology,3,72.0,60.15,67.0,100.0,89.16,49,7.03,stable,17.63,51.15,never,2.08,77.41,1,3.0,none
S100558,2023,Economics,5,93.36,80.41,81.54,100.0,100.0,46,2.32,stable,8.87,47.94,sometimes,2.46,88.8,1,1.0,none
S100559,2022,Education,6,83.69,72.94,67.05,100.0,86.54,45,9.23,stable,14.87,39.75,sometimes,2.19,73.82,1,1.0,none
S100560,2021,Economics,8,81.89,77.21,71.96,97.83,100.0,37,0.07,unstable,11.42,22.51,sometimes,3.28,84.93,1,3.0,none
S100561,2022,Computer Science,1,85.91,72.95,70.66,93.8,100.0,64,7.1,stable,0.19,41.94,rarely,2.69,84.1,1,1.0,none
S100562,2024,Computer Science,8,74.01,84.86,78.07,100.0,100.0,68,22.76,stable,9.37,33.79,sometimes,2.78,81.04,1,3.0,none
S100563,2023,Economics,3,60.6,84.36,69.28,100.0,97.11,44,10.18,stable,1.35,29.45,sometimes,2.9,79.12,1,0.0,self_report_missing
S100564,2023,Economics,2,71.5,69.56,75.7,94.82,100.0,36,4.84,unstable,9.24,83.22,sometimes,3.17,78.68,1,2.0,none
S100565,2023,Psychology,5,86.66,67.81,76.94,100.0,100.0,46,11.73,stable,4.78,7.3,often,2.33,83.37,1,3.0,none
S100566,2023,Education,7,78.73,65.51,70.19,95.64,98.99,47,6.95,stable,12.67,52.25,sometimes,2.43,85.78,1,2.0,none
S100567,2021,Education,2,81.32,93.14,86.89,100.0,100.0,67,15.84,stable,0.6,19.47,sometimes,3.0,88.99,1,1.0,system_issue
S100568,2022,Computer Science,1,76.7,81.26,75.11,100.0,93.24,40,7.19,stable,10.1,37.36,sometimes,3.54,90.86,1,5.0,none
S100569,2023,Public Health,8,56.99,70.0,62.77,96.35,,62,12.1,limited,14.01,81.23,sometimes,2.99,76.48,1,3.0,none
S100570,2022,Education,8,94.87,75.01,69.24,100.0,99.83,52,5.53,stable,16.35,17.68,rarely,2.64,82.26,1,0.0,none
S100571,2024,Economics,2,74.71,87.08,69.6,100.0,90.78,65,23.32,stable,4.65,21.97,sometimes,2.03,84.96,1,4.0,system_issue
S100572,2022,Computer Science,8,80.33,95.22,70.67,100.0,95.87,66,13.46,stable,10.12,34.68,sometimes,3.43,97.84,1,2.0,none
S100573,2023,Computer Science,8,70.47,73.56,63.42,97.33,100.0,61,10.44,limited,11.29,19.75,often,2.67,81.33,1,3.0,none
S100574,2024,Economics,8,90.83,81.14,63.65,100.0,78.2,37,9.02,stable,20.83,50.91,rarely,2.48,81.37,1,2.0,none
S100575,2023,Economics,2,86.62,82.78,70.97,97.65,100.0,40,9.51,stable,0.0,25.38,very_often,2.23,84.44,1,0.0,system_issue
S100576,2024,Computer Science,5,64.49,83.91,64.79,100.0,92.47,46,8.29,unstable,3.62,46.77,often,2.35,78.39,1,0.0,none
S100577,2023,Public Health,8,92.09,67.48,58.82,97.91,82.24,54,,stable,29.63,11.07,sometimes,2.57,78.54,1,3.0,none
S100578,2024,Education,8,77.8,84.31,71.35,100.0,100.0,75,18.91,limited,8.09,2.48,sometimes,2.89,88.89,1,2.0,self_report_missing
S100579,2022,Public Health,5,69.34,69.09,77.98,100.0,98.97,51,9.51,limited,0.0,30.88,sometimes,2.46,85.76,1,2.0,none
S100580,2022,Education,2,80.78,78.19,74.28,100.0,84.78,64,1.94,stable,5.92,6.77,often,3.08,82.61,1,1.0,none
S100581,2023,Computer Science,1,72.4,71.9,71.39,100.0,95.08,41,6.75,stable,0.0,62.33,often,2.89,82.45,1,2.0,none
S100582,2021,Education,3,75.98,94.51,77.76,100.0,100.0,50,15.24,stable,11.69,7.46,often,4.0,95.2,1,2.0,none
S100583,2022,Education,1,82.48,76.06,69.42,100.0,100.0,49,9.61,limited,15.67,16.32,often,2.23,85.31,1,1.0,none
S100584,2024,Education,2,76.46,83.22,72.97,100.0,98.63,44,11.11,limited,3.62,42.45,sometimes,3.07,94.47,1,0.0,none
S100585,2023,Economics,1,85.62,92.65,73.1,100.0,83.57,71,16.73,unstable,6.7,24.45,often,3.08,90.9,1,0.0,system_issue
S100586,2021,Psychology,7,83.27,81.49,65.41,100.0,100.0,19,7.19,stable,16.47,7.67,sometimes,2.54,86.77,1,1.0,self_report_missing
S100587,2022,Education,5,86.25,84.0,74.34,100.0,100.0,51,14.85,stable,0.0,71.72,sometimes,3.04,92.33,1,0.0,none
S100588,2021,Economics,5,64.41,73.94,60.14,92.68,78.13,62,8.93,stable,0.75,16.97,sometimes,3.35,79.94,1,4.0,none
S100589,2021,Psychology,7,73.78,75.63,64.18,100.0,100.0,51,13.92,stable,8.4,31.47,often,3.04,90.93,1,2.0,none
S100590,2024,Computer Science,4,91.63,89.45,80.01,100.0,100.0,65,9.86,stable,4.73,31.23,never,3.62,90.63,1,2.0,none
S100591,2022,Public Health,4,59.38,67.92,53.18,85.04,74.97,74,10.28,limited,7.94,47.79,rarely,2.02,65.6,1,0.0,self_report_missing
S100592,2022,Computer Science,2,83.15,92.82,71.61,100.0,92.44,58,15.6,stable,1.15,43.32,sometimes,2.62,78.98,1,0.0,self_report_missing
S100593,2023,Education,4,72.74,88.14,67.11,100.0,100.0,68,14.45,stable,11.5,20.12,very_often,3.66,92.74,1,2.0,none
S100594,2021,Psychology,2,84.91,84.99,83.64,100.0,100.0,80,10.54,stable,8.96,29.14,sometimes,3.41,94.74,1,0.0,none
S100595,2022,Public Health,5,99.77,84.65,94.83,100.0,100.0,57,8.77,stable,13.84,30.92,sometimes,3.24,95.23,1,2.0,none
S100596,2023,Education,8,89.06,100.0,91.49,100.0,100.0,60,18.28,unstable,11.4,48.48,sometimes,3.55,91.26,1,0.0,none
S100597,2023,Psychology,5,59.24,63.18,69.65,95.19,68.18,63,13.74,stable,11.45,13.97,sometimes,2.14,66.78,1,1.0,none
S100598,2024,Public Health,3,91.16,83.69,83.71,100.0,100.0,66,10.24,stable,0.0,71.33,often,3.36,94.35,1,1.0,none
S100599,2023,Public Health,6,100.0,83.83,83.68,100.0,100.0,52,7.99,stable,13.45,21.33,very_often,3.48,95.71,1,5.0,none
S100600,2022,Psychology,7,100.0,83.61,80.23,100.0,100.0,54,16.0,stable,7.68,34.84,often,2.7,89.49,1,4.0,none
S100601,2023,Computer Science,4,93.66,96.76,79.6,100.0,100.0,74,11.81,stable,8.83,14.12,often,4.0,96.79,1,2.0,none
S100602,2024,Economics,3,66.4,76.42,74.4,100.0,100.0,48,9.88,limited,17.34,11.63,rarely,3.09,84.44,1,2.0,none
S100603,2023,Computer Science,6,77.62,72.91,69.87,100.0,100.0,67,12.12,unstable,4.96,19.26,rarely,2.01,77.25,1,4.0,none
S100604,2024,Education,2,99.76,89.77,78.04,100.0,100.0,59,11.96,stable,19.46,17.53,sometimes,3.17,97.04,1,2.0,none
S100605,2023,Education,8,78.54,76.53,73.72,100.0,98.09,72,10.14,stable,20.11,27.54,often,2.68,83.97,1,2.0,none
S100606,2024,Economics,3,96.35,90.24,80.34,100.0,100.0,50,16.2,stable,15.27,17.38,rarely,3.52,91.11,1,0.0,none
S100607,2021,Psychology,3,74.6,88.48,72.65,100.0,100.0,49,17.42,stable,3.14,47.52,often,3.25,89.73,1,3.0,none
S100608,2023,Computer Science,6,84.74,72.23,79.89,100.0,96.18,66,14.39,stable,0.0,20.91,rarely,2.73,86.58,1,3.0,none
S100609,2022,Psychology,1,58.37,85.18,78.33,100.0,95.48,44,16.78,limited,17.55,18.91,rarely,3.68,92.59,1,0.0,none
S100610,2023,Public Health,2,75.37,86.31,73.96,100.0,100.0,54,11.18,stable,10.78,27.93,sometimes,3.42,92.77,1,2.0,none
S100611,2023,Computer Science,2,75.5,89.29,68.6,98.04,86.59,73,14.72,limited,4.78,52.87,often,2.63,79.68,1,1.0,none
S100612,2024,Economics,4,77.84,94.91,75.56,95.71,84.92,37,15.06,stable,18.21,38.87,often,2.93,90.25,1,5.0,none
S100613,2024,Computer Science,5,70.51,85.93,62.3,96.45,91.6,61,16.27,stable,3.97,33.21,sometimes,3.23,79.26,1,0.0,none
S100614,2022,Psychology,2,77.14,78.81,68.3,100.0,100.0,70,15.56,stable,7.03,9.21,often,2.84,84.78,1,2.0,none
S100615,2023,Economics,3,85.29,88.73,66.4,97.15,100.0,56,13.75,stable,13.67,14.43,often,2.85,89.77,1,1.0,none
S100616,2023,Education,7,82.24,100.0,79.2,99.74,98.9,52,20.63,stable,2.2,11.99,sometimes,3.02,97.23,1,3.0,none
S100617,2022,Public Health,8,75.29,85.16,74.79,90.8,93.19,48,8.83,limited,9.23,58.52,often,2.52,87.68,1,0.0,none
S100618,2021,Computer Science,1,82.93,68.85,69.13,100.0,93.36,43,9.89,stable,17.62,44.55,rarely,2.0,81.86,1,0.0,none
S100619,2021,Public Health,6,79.9,81.32,70.31,92.26,95.5,53,10.12,stable,11.48,19.49,sometimes,3.11,84.52,1,1.0,none
S100620,2023,Public Health,1,90.69,76.06,63.52,100.0,88.32,49,8.85,stable,18.73,24.84,rarely,2.1,81.19,1,5.0,self_report_missing
S100621,2022,Public Health,5,70.09,72.34,56.98,91.32,91.31,38,1.62,stable,17.94,20.14,sometimes,2.55,75.58,1,0.0,none
S100622,2024,Psychology,8,97.2,91.31,89.47,100.0,93.98,65,17.38,stable,10.05,19.05,sometimes,2.2,88.25,1,1.0,none
S100623,2022,Public Health,7,88.38,70.84,68.75,96.17,89.18,68,7.38,stable,0.0,43.29,never,2.26,78.67,1,2.0,none
